|selA1|selA2|selB |selOut|        x         |        y         |        p         |        q         |zx |nx |zy |ny | f |no |       out        |zr |ng |
|  0  |  0  |  0  |  0   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 0 | 0 | 0 | 1 | 0 | 0000000000000000 | 1 | 0 |
|  0  |  0  |  0  |  0   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 1 | 0 | 0 | 1 | 1 | 0000000000000000 | 1 | 0 |
|  0  |  0  |  0  |  0   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 0 | 0 | 1 | 1 | 1 | 0000000000000000 | 1 | 0 |
|  0  |  0  |  0  |  0   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 0 | 0 | 0 | 0 | 0 | 0000000000000000 | 1 | 0 |
|  0  |  0  |  0  |  0   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 1 | 0 | 1 | 0 | 1 | 0000000000000000 | 1 | 0 |
|  0  |  1  |  0  |  0   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 0 | 0 | 0 | 1 | 0 | 1111111111111111 | 0 | 1 |
|  0  |  1  |  0  |  0   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 1 | 0 | 0 | 1 | 1 | 0000000000000001 | 0 | 0 |
|  0  |  1  |  0  |  0   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 0 | 0 | 1 | 1 | 1 | 1111111111111111 | 0 | 1 |
|  0  |  1  |  0  |  0   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 0 | 0 | 0 | 0 | 0 | 0000000000000000 | 1 | 0 |
|  0  |  1  |  0  |  0   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 1 | 0 | 1 | 0 | 1 | 1111111111111111 | 0 | 1 |
|  1  |  0  |  0  |  0   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 0 | 0 | 0 | 1 | 0 | 1111111111111111 | 0 | 1 |
|  1  |  0  |  0  |  0   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 1 | 0 | 0 | 1 | 1 | 1111111111111111 | 0 | 1 |
|  1  |  0  |  0  |  0   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 0 | 0 | 1 | 1 | 1 | 0000000000000001 | 0 | 0 |
|  1  |  0  |  0  |  0   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 0 | 0 | 0 | 0 | 0 | 0000000000000000 | 1 | 0 |
|  1  |  0  |  0  |  0   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 1 | 0 | 1 | 0 | 1 | 1111111111111111 | 0 | 1 |
|  1  |  1  |  0  |  0   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 0 | 0 | 0 | 1 | 0 | 1111111111111110 | 0 | 1 |
|  1  |  1  |  0  |  0   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 1 | 0 | 0 | 1 | 1 | 0000000000000000 | 1 | 0 |
|  1  |  1  |  0  |  0   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 0 | 0 | 1 | 1 | 1 | 0000000000000000 | 1 | 0 |
|  1  |  1  |  0  |  0   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 0 | 0 | 0 | 0 | 0 | 1111111111111111 | 0 | 1 |
|  1  |  1  |  0  |  0   | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1111111111111111 | 0 | 1 | 0 | 1 | 0 | 1 | 1111111111111111 | 0 | 1 |
|  0  |  0  |  0  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 1 | 0 | 1 | 0 | 1 | 0 | 0000000000000000 | 1 | 0 |
|  0  |  0  |  0  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 1 | 1 | 1 | 1 | 1 | 1 | 0000000000000001 | 0 | 0 |
|  0  |  0  |  0  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 1 | 1 | 1 | 0 | 1 | 0 | 1111111111111111 | 0 | 1 |
|  0  |  0  |  0  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 0 | 1 | 1 | 0 | 0 | 0000000000000101 | 0 | 0 |
|  0  |  0  |  0  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 1 | 1 | 0 | 0 | 0 | 0 | 1111111111111010 | 0 | 1 |
|  0  |  0  |  0  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 0 | 1 | 1 | 0 | 1 | 1111111111111010 | 0 | 1 |
|  0  |  0  |  0  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 1 | 1 | 0 | 0 | 0 | 1 | 0000000000000101 | 0 | 0 |
|  0  |  0  |  0  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 0 | 1 | 1 | 1 | 1 | 1111111111111011 | 0 | 1 |
|  0  |  0  |  0  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 1 | 1 | 0 | 0 | 1 | 1 | 0000000000000110 | 0 | 0 |
|  0  |  0  |  0  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 1 | 1 | 1 | 1 | 1 | 0000000000000110 | 0 | 0 |
|  0  |  0  |  0  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 1 | 1 | 0 | 1 | 1 | 1 | 1111111111111011 | 0 | 1 |
|  0  |  0  |  0  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 0 | 1 | 1 | 1 | 0 | 0000000000000100 | 0 | 0 |
|  0  |  0  |  0  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 1 | 1 | 0 | 0 | 1 | 0 | 1111111111111001 | 0 | 1 |
|  0  |  0  |  0  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 0 | 0 | 0 | 1 | 0 | 1111111111111111 | 0 | 1 |
|  0  |  0  |  0  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 1 | 0 | 0 | 1 | 1 | 0000000000001011 | 0 | 0 |
|  0  |  0  |  0  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 0 | 0 | 1 | 1 | 1 | 1111111111110101 | 0 | 1 |
|  0  |  0  |  0  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 0 | 0 | 0 | 0 | 0 | 0000000000000000 | 1 | 0 |
|  0  |  0  |  0  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 1 | 0 | 1 | 0 | 1 | 1111111111111111 | 0 | 1 |
|  0  |  0  |  1  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 0 | 1 | 1 | 0 | 0 | 0000000000001100 | 0 | 0 |
|  0  |  0  |  1  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 1 | 1 | 0 | 0 | 0 | 0 | 1111111111111100 | 0 | 1 |
|  0  |  0  |  1  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 0 | 1 | 1 | 0 | 1 | 1111111111110011 | 0 | 1 |
|  0  |  0  |  1  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 1 | 1 | 0 | 0 | 0 | 1 | 0000000000000011 | 0 | 0 |
|  0  |  0  |  1  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 0 | 1 | 1 | 1 | 1 | 1111111111110100 | 0 | 1 |
|  0  |  0  |  1  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 1 | 1 | 0 | 0 | 1 | 1 | 0000000000000100 | 0 | 0 |
|  0  |  0  |  1  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 1 | 1 | 1 | 1 | 1 | 0000000000001101 | 0 | 0 |
|  0  |  0  |  1  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 1 | 1 | 0 | 1 | 1 | 1 | 1111111111111101 | 0 | 1 |
|  0  |  0  |  1  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 0 | 1 | 1 | 1 | 0 | 0000000000001011 | 0 | 0 |
|  0  |  0  |  1  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 1 | 1 | 0 | 0 | 1 | 0 | 1111111111111011 | 0 | 1 |
|  0  |  0  |  1  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 0 | 0 | 0 | 1 | 0 | 0000000000001000 | 0 | 0 |
|  0  |  0  |  1  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 1 | 0 | 0 | 1 | 1 | 0000000000010000 | 0 | 0 |
|  0  |  0  |  1  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 0 | 0 | 1 | 1 | 1 | 1111111111110000 | 0 | 1 |
|  0  |  0  |  1  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 0 | 0 | 0 | 0 | 0 | 0000000000001100 | 0 | 0 |
|  0  |  0  |  1  |  1   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 1 | 0 | 1 | 0 | 1 | 1111111111111100 | 0 | 1 |
|  0  |  0  |  0  |  0   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 0 | 0 | 0 | 1 | 0 | 0000000000010001 | 0 | 0 |
|  0  |  0  |  0  |  0   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 1 | 0 | 0 | 1 | 1 | 1111111111111001 | 0 | 1 |
|  0  |  0  |  0  |  0   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 0 | 0 | 1 | 1 | 1 | 0000000000000111 | 0 | 0 |
|  0  |  0  |  0  |  0   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 0 | 0 | 0 | 0 | 0 | 0000000000000100 | 0 | 0 |
|  0  |  0  |  0  |  0   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 1 | 0 | 1 | 0 | 1 | 0000000000001101 | 0 | 0 |
|  0  |  1  |  0  |  0   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 0 | 0 | 0 | 1 | 0 | 0000000000000001 | 0 | 0 |
|  0  |  1  |  0  |  0   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 1 | 0 | 0 | 1 | 1 | 0000000000001001 | 0 | 0 |
|  0  |  1  |  0  |  0   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 0 | 0 | 1 | 1 | 1 | 1111111111110111 | 0 | 1 |
|  0  |  1  |  0  |  0   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 0 | 0 | 0 | 0 | 0 | 0000000000000100 | 0 | 0 |
|  0  |  1  |  0  |  0   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 1 | 0 | 1 | 0 | 1 | 1111111111111101 | 0 | 1 |
|  1  |  0  |  0  |  0   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 0 | 0 | 0 | 1 | 0 | 0000000000000110 | 0 | 0 |
|  1  |  0  |  0  |  0   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 1 | 0 | 0 | 1 | 1 | 1111111111101110 | 0 | 1 |
|  1  |  0  |  0  |  0   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 0 | 0 | 1 | 1 | 1 | 0000000000010010 | 0 | 0 |
|  1  |  0  |  0  |  0   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 0 | 0 | 0 | 0 | 0 | 0000000000001000 | 0 | 0 |
|  1  |  0  |  0  |  0   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 1 | 0 | 1 | 0 | 1 | 1111111111111110 | 0 | 1 |
|  1  |  1  |  0  |  0   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 0 | 0 | 0 | 1 | 0 | 1111111111110110 | 0 | 1 |
|  1  |  1  |  0  |  0   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 1 | 0 | 0 | 1 | 1 | 1111111111111110 | 0 | 1 |
|  1  |  1  |  0  |  0   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 0 | 0 | 1 | 1 | 1 | 0000000000000010 | 0 | 0 |
|  1  |  1  |  0  |  0   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 0 | 0 | 0 | 0 | 0 | 1111111111111000 | 0 | 1 |
|  1  |  1  |  0  |  0   | 0000000000000101 | 1111111111111010 | 0000000000001100 | 1111111111111100 | 0 | 1 | 0 | 1 | 0 | 1 | 1111111111111110 | 0 | 1 |
